total_timesteps,explained_variance,value_loss,policy_entropy,fps,nupdates
84376000,0.9823941607028246,0.04445260390639305,1.167183518409729,2022,1054700
84384000,0.9964063779916614,0.010101107880473137,1.0413639545440674,2022,1054800
84392000,0.9759714528918266,0.05086330324411392,1.0623778104782104,2022,1054900
84400000,0.9957527406513691,0.03299785405397415,1.1090080738067627,2022,1055000
84408000,0.9951978325843811,0.021901648491621017,1.0697791576385498,2022,1055100
84416000,0.9567673280835152,0.06553351134061813,1.205672025680542,2022,1055200
84424000,0.9951303089037538,0.016161497682332993,1.156476378440857,2022,1055300
84432000,0.9746150821447372,0.035081177949905396,1.2228364944458008,2022,1055400
84440000,0.9932159739546478,0.010911420919001102,1.2323564291000366,2022,1055500
84448000,0.9908332834020257,0.07239005714654922,1.2402565479278564,2022,1055600
84456000,0.9844517773017287,0.0656154528260231,1.1744502782821655,2022,1055700
84464000,0.9911430915817618,0.011108966544270515,1.2873157262802124,2022,1055800
84472000,0.9952129847370088,0.00976540707051754,1.1874525547027588,2022,1055900
84480000,0.9941845559515059,0.021599430590867996,1.1205837726593018,2022,1056000
84488000,0.9936485937796533,0.015968572348356247,1.1549055576324463,2022,1056100
84496000,0.9338766783475876,0.0988582968711853,1.1447583436965942,2022,1056200
