fps,policy_entropy,nupdates,explained_variance,value_loss,total_timesteps,learning rate,avg reward
1732,2.8903706073760986,77000,-0.3238469362258911,5.634568651657901e-07,6160000,0.001,-0.0014484165486976508
1732,2.8903703689575195,77100,-1.4400269985198975,1.2740440524794394e-06,6168000,0.001,-0.0009849507556282332
1732,2.8903703689575195,77200,-0.862602949142456,1.56658211381e-06,6176000,0.001,-0.0002869288549845805
1732,2.8903703689575195,77300,-1.2041451930999756,9.658684803071083e-07,6184000,0.001,0.001629621739630238
1732,2.8903698921203613,77400,-1.8636276721954346,6.056587835701066e-07,6192000,0.001,3.377111543159117e-05
1732,2.8903698921203613,77500,-0.9745504856109619,1.0568660400167573e-06,6200000,0.001,0.00019562829984351993
1732,2.890369415283203,77600,-0.4640028476715088,8.350348252861295e-07,6208000,0.001,0.0003907385042111855
1732,2.890369415283203,77700,-1.0463995933532715,1.3430928902380401e-06,6216000,0.001,-0.00030547778635536815
1732,2.8903698921203613,77800,-1.2189037799835205,1.5636538819308043e-06,6224000,0.001,-0.000792070705142578
1732,2.890369415283203,77900,-0.41233909130096436,2.463251348672202e-06,6232000,0.001,-5.851128498761682e-05
1732,2.890369176864624,78000,-0.6384741067886353,1.0789678981382167e-06,6240000,0.001,-0.0002943079170108831
1732,2.8903682231903076,78100,-0.6178770065307617,9.849716207099846e-07,6248000,0.001,-3.27222810483363e-06
1732,2.890368938446045,78200,-2.0961785316467285,1.1433210147515638e-06,6256000,0.001,-6.32849778412492e-05
1732,2.890369415283203,78300,-0.722496509552002,1.093421587938792e-06,6264000,0.001,-0.0004544882339359901
1732,2.890368700027466,78400,-1.2237420082092285,1.5974952702890732e-06,6272000,0.001,-0.001027010302641429
1732,2.890368938446045,78500,-0.9482928514480591,1.4030217698746128e-06,6280000,0.001,0.001632106408760592
1732,2.890369415283203,78600,-0.9000688791275024,1.7721946505844244e-06,6288000,0.001,-1.3165239579393528e-06
1732,2.890369415283203,78700,-0.9626985788345337,1.1774047834478552e-06,6296000,0.001,0.00021691688850751235
1732,2.890368938446045,78800,-0.6076608896255493,1.0941809023279347e-06,6304000,0.001,-0.0003451964123541984
1732,2.890368938446045,78900,-0.28806304931640625,8.801096669230901e-07,6312000,0.001,-0.001270997944084229
1732,2.890368938446045,79000,-1.0894083976745605,6.52934090794588e-07,6320000,0.001,0.0008697231716723764
1732,2.8903698921203613,79100,-1.282623052597046,1.9770482140302192e-06,6328000,0.001,0.0007096908725543472
1732,2.890368700027466,79200,-0.8929053544998169,8.426319482168765e-07,6336000,0.001,0.001589810533914715
1733,2.890368938446045,79300,-1.7269387245178223,1.1966446891165106e-06,6344000,0.001,-0.00012303575294936309
1733,2.890369176864624,79400,-2.346200704574585,1.2441012131603202e-06,6352000,0.001,0.00010500165758458025
1733,2.890369415283203,79500,-1.2404704093933105,1.679780098129413e-06,6360000,0.001,-0.0002265857684051298
1733,2.890369415283203,79600,-0.8122656345367432,6.714527671647375e-07,6368000,0.001,-0.0006715102568705334
1733,2.890368938446045,79700,-1.5503430366516113,1.4236336483008927e-06,6376000,0.001,0.0004370122166164947
1733,2.890369415283203,79800,-0.44603681564331055,5.956877089374757e-07,6384000,0.001,-0.0002656307773577282
1733,2.890369176864624,79900,-1.9726574420928955,9.735867934068665e-07,6392000,0.001,-0.0008947916013312352
1733,2.890369415283203,80000,-1.2277486324310303,1.0861476766876876e-06,6400000,0.001,0.0009404856144101359
1733,2.8903582096099854,80100,-0.6006711721420288,1.0549833859840874e-06,6408000,0.001,0.0006961359810929935
1733,2.8903603553771973,80200,-0.4961423873901367,1.09879022147652e-06,6416000,0.001,-4.512648956733756e-05
1733,2.890361785888672,80300,-1.03204345703125,1.3470873909682268e-06,6424000,0.001,0.0010101004356329213
1733,2.8903613090515137,80400,-2.6303904056549072,1.0101523457706207e-06,6432000,0.001,0.0005835050008954568
1733,2.8903629779815674,80500,-0.6745977401733398,8.684028216521256e-07,6440000,0.001,0.0003936407563287503
1733,2.890364170074463,80600,-1.3077247142791748,1.0871004860746325e-06,6448000,0.001,0.00015898196850230306
1733,2.8903648853302,80700,-0.8174076080322266,1.5936186628096038e-06,6456000,0.001,-0.0004044334371428704
1733,2.8903656005859375,80800,-1.1267590522766113,8.671402724758082e-07,6464000,0.001,-7.285787878572592e-05
1733,2.890366792678833,80900,-1.0690639019012451,1.2038268550895737e-06,6472000,0.001,0.0001329832499322947
1733,2.8903675079345703,81000,-2.735050678253174,1.1919867120013805e-06,6480000,0.001,-0.00016361715497623664
1733,2.8903677463531494,81100,-1.4231946468353271,1.1646750408544904e-06,6488000,0.001,0.0003786603138451028
