fps,policy_entropy,explained_variance,total_timesteps,nupdates,value_loss,avg reward
1985,1.4996097087860107,0.9692826978862286,7768000,97100,0.045464545488357544,3.606602856144309
1985,1.5137337446212769,0.9566461592912674,7776000,97200,0.036791905760765076,3.1694660507142545
1985,1.4275938272476196,0.9479231424629688,7784000,97300,0.08904898166656494,3.574531504511833
1985,1.4885761737823486,0.9662447310984135,7792000,97400,0.04901338368654251,2.949291840940714
1985,1.445404291152954,0.9691452477127314,7800000,97500,0.05489218980073929,3.0122199662029745
1985,1.5733648538589478,0.9761662315577269,7808000,97600,0.025844911113381386,2.1565180364996195
1986,1.4560400247573853,0.930301196873188,7816000,97700,0.06201205402612686,3.0529091440141203
1986,1.4846700429916382,0.9849338084459305,7824000,97800,0.026732299476861954,2.7218322026135864
1986,1.5524823665618896,0.92247274518013,7832000,97900,0.10900535434484482,2.7702093116939066
1986,1.5512529611587524,0.9757151901721954,7840000,98000,0.0416160449385643,3.262076593958773
1986,1.5048727989196777,0.9187653660774231,7848000,98100,0.08477137982845306,2.5434927264228464
1986,1.5439456701278687,0.991690132766962,7856000,98200,0.015187477692961693,3.176076740026474
1986,1.437218189239502,0.9753886684775352,7864000,98300,0.04116854444146156,3.154781817831099
1986,1.546404480934143,0.9471226371824741,7872000,98400,0.06483765691518784,2.912180880457163
1986,1.442122220993042,0.9741934388875961,7880000,98500,0.04475130885839462,3.372715035174042
1987,1.4929453134536743,0.9354743286967278,7888000,98600,0.06546403467655182,2.959621365368366
1987,1.470445990562439,0.9809949658811092,7896000,98700,0.02735094353556633,2.710753725003451
1987,1.4467790126800537,0.9598974958062172,7904000,98800,0.03842731565237045,2.7064217168837787
1987,1.491300344467163,0.9761965982615948,7912000,98900,0.03419198468327522,3.2083783062174915
1987,1.608703374862671,0.9841558933258057,7920000,99000,0.015173506923019886,2.2447483364492653
1987,1.3389220237731934,0.9739709440618753,7928000,99100,0.0653587132692337,3.5185828603804112
1987,1.4308831691741943,0.9917388604953885,7936000,99200,0.015968484804034233,3.3718095108866692
1987,1.4941437244415283,0.9818690847605467,7944000,99300,0.02644854225218296,2.7665590466931462
1987,1.424126148223877,0.9947043266147375,7952000,99400,0.010321837849915028,3.385244335606694
1987,1.5553535223007202,0.990576115436852,7960000,99500,0.010851101018488407,2.6379974328912796
1987,1.5620949268341064,0.9613858722150326,7968000,99600,0.0563022717833519,3.17888028845191
1987,1.5729665756225586,0.9945213655009866,7976000,99700,0.012452083639800549,2.9805640232749284
1987,1.456385850906372,0.978026807308197,7984000,99800,0.03731732442975044,2.9927907042205333
1987,1.5426175594329834,0.8651983588933945,7992000,99900,0.08732500672340393,3.49757092744112
1988,1.530368447303772,0.9579183906316757,8000000,100000,0.05314188078045845,3.2614737421274187
1988,1.5582166910171509,0.9758261628448963,8008000,100100,0.04678132385015488,2.9085968689061703
1988,1.5141584873199463,0.9505918845534325,8016000,100200,0.056983351707458496,2.626024863123894
1988,1.4883537292480469,0.9731134250760078,8024000,100300,0.03246741369366646,3.14447043184191
1988,1.4581401348114014,0.9761945195496082,8032000,100400,0.024908026680350304,3.7186621733009817
1988,1.5355703830718994,0.9852034188807011,8040000,100500,0.022682365030050278,3.177330193668604
1988,1.3877060413360596,0.988326140679419,8048000,100600,0.024114372208714485,3.692773343157023
1988,1.5595818758010864,0.9781223721802235,8056000,100700,0.03345497325062752,2.4907047860324383
1988,1.5052013397216797,0.9290559217333794,8064000,100800,0.08453820645809174,3.333596646413207
1988,1.4097763299942017,0.9649985730648041,8072000,100900,0.058936793357133865,3.0929895639419556
1988,1.4269373416900635,0.9459988921880722,8080000,101000,0.061902403831481934,3.269562470912933
1989,1.4228236675262451,0.9716782867908478,8088000,101100,0.06241396814584732,3.978592512756586
1989,1.4197043180465698,0.9393202178180218,8096000,101200,0.08043145388364792,3.091400021314621
1989,1.4484764337539673,0.9353061467409134,8104000,101300,0.07671526819467545,3.3229017965495586
1989,1.5138881206512451,0.9860458569601178,8112000,101400,0.02291012927889824,2.7745021893642843
1989,1.4912641048431396,0.9350050836801529,8120000,101500,0.09924455732107162,2.5930149108171463
1989,1.4100427627563477,0.9808252695947886,8128000,101600,0.04528908431529999,3.4510599371045827
1989,1.4138126373291016,0.9602179378271103,8136000,101700,0.0662388950586319,3.0139712002128363
1989,1.424626111984253,0.7140810489654541,8144000,101800,0.27351266145706177,3.6633875235915183
1989,1.513135313987732,0.9808365274220705,8152000,101900,0.05282844975590706,3.1062958324328065
1989,1.4295461177825928,0.9856974221765995,8160000,102000,0.028379227966070175,3.7721116930246352
1990,1.4182782173156738,0.9199307635426521,8168000,102100,0.0933578833937645,2.9323423720896242
