nupdates,total_timesteps,fps,policy_entropy,explained_variance,value_loss,epsilonValue,avg reward
46800,3744000,1889,1.6514259576797485,0.934636190533638,0.03145961835980415,0.0007272674597696427,1.7534504890441895
46900,3752000,1889,1.7312473058700562,0.9249321892857552,0.0361623652279377,0.0007272674597696427,1.1570528475567698
47000,3760000,1889,1.7497899532318115,0.932342104613781,0.02661951817572117,0.0007272674597696427,1.0198346151039004
47100,3768000,1889,1.6734154224395752,0.986227978952229,0.011855557560920715,0.0007272674597696427,1.6477088656043635
47200,3776000,1889,1.7431529760360718,0.9551643989980221,0.02299962379038334,0.0007272674597696427,1.4560949699953198
47300,3784000,1889,1.682476282119751,0.9266672283411026,0.029752779752016068,0.0007272674597696427,2.439540894329548
47400,3792000,1889,1.7508379220962524,0.7380984127521515,0.0676550641655922,0.0007272674597696427,1.5603012390434743
47500,3800000,1889,1.7531934976577759,0.9568582884967327,0.015402480959892273,0.0007272674597696427,0.9262397735612466
47600,3808000,1889,1.7469936609268188,0.9322392418980598,0.019055483862757683,0.0007272674597696427,1.583453006250784
47700,3816000,1889,1.6834347248077393,0.9635240845382214,0.012869591824710369,0.0007272674597696427,1.459604568220675
47800,3824000,1889,1.7426255941390991,0.9512515105307102,0.027206670492887497,0.0007272674597696427,1.6808380567934365
47900,3832000,1890,1.7699706554412842,0.8970628306269646,0.04406529292464256,0.0007272674597696427,1.3898565603420139
48000,3840000,1890,1.741058588027954,0.8349569886922836,0.053958140313625336,0.0007272674597696427,1.740525184944272
48100,3848000,1890,1.7309528589248657,0.9648782722651958,0.0244122501462698,0.0007272674597696427,1.3020886955782771
48200,3856000,1890,1.7595503330230713,0.978109011426568,0.009883712977170944,0.0007272674597696427,1.679282119870186
48300,3864000,1890,1.7538038492202759,0.9461350031197071,0.021612349897623062,0.0007272674597696427,1.453923744149506
48400,3872000,1890,1.7434192895889282,0.9361841976642609,0.017608389258384705,0.0007272674597696427,1.6435599997639656
48500,3880000,1889,1.7184884548187256,0.8312565684318542,0.08714525401592255,0.0007272674597696427,1.5075899712741374
48600,3888000,1889,1.7415611743927002,0.9459310285747051,0.011734770610928535,0.0007272674597696427,1.0458499059081077
48700,3896000,1889,1.7472248077392578,0.9504144825041294,0.01993938349187374,0.0007272674597696427,1.2625793574377895
48800,3904000,1889,1.7407286167144775,0.9198334217071533,0.03234223648905754,0.0007272674597696427,1.5560880124568939
48900,3912000,1889,1.7377761602401733,0.9332833513617516,0.038842666894197464,0.0007272674597696427,1.3623704838566482
