fps,explained_variance,total_timesteps,value_loss,avg reward,policy_entropy,nupdates
1999,0.1899425983428955,4704000,2.7359772047930164e-06,-0.0012052897629018845,2.1972217559814453,58800
1999,-1.2198193073272705,4712000,1.3945546015747823e-05,-0.0025788725859456465,2.1972222328186035,58900
1999,-0.012670397758483887,4720000,8.458441698167007e-07,-0.0013478219903163336,2.197221040725708,59000
1999,-2.1030242443084717,4728000,1.0708312402130105e-05,-0.002502594797988422,2.1972198486328125,59100
1999,-0.81224524974823,4736000,1.4412210020964267e-06,-0.0011498257447328797,2.19722318649292,59200
1999,-0.47596919536590576,4744000,3.935302174795652e-06,0.0034742941286822317,2.1972155570983887,59300
1999,-4.38571310043335,4752000,8.480181350023486e-06,-0.0008782704942859709,2.1972198486328125,59400
1999,-0.8406690359115601,4760000,9.431538273929618e-06,-0.0018074982450343668,2.197221279144287,59500
1999,-2.630751132965088,4768000,5.296477866068017e-06,-0.0018547612420661609,2.197221040725708,59600
1999,-0.3807007074356079,4776000,1.0441106496728025e-05,-0.001366996747867688,2.197221279144287,59700
1999,-1.082956075668335,4784000,1.1245656423852779e-05,-0.00035875987487088423,2.1972203254699707,59800
1999,-0.661524772644043,4792000,2.3666336801397847e-06,-0.0004864493288550875,2.1972222328186035,59900
1999,-0.7681691646575928,4800000,2.8494080197560834e-06,0.0014407383007437602,2.19720721244812,60000
1999,-1.5750348567962646,4808000,3.944746822526213e-06,0.00012417078087310074,2.1972222328186035,60100
1999,-1.2466809749603271,4816000,1.1449009434727486e-05,-0.0006168904801597819,2.1972219944000244,60200
1999,-0.302581787109375,4824000,1.0896430922002764e-06,0.001442572314428503,2.1972217559814453,60300
1999,-0.7927232980728149,4832000,8.321804671140853e-06,-0.001826819556663395,2.1972217559814453,60400
1999,-0.36880266666412354,4840000,2.5118779376498424e-06,0.0023426548495990573,2.19722318649292,60500
1999,-0.3517429828643799,4848000,1.851999854807218e-06,6.0877098167111396e-05,2.19722318649292,60600
1999,0.32740479707717896,4856000,3.556102001311956e-06,-0.00028698200430881115,2.1972126960754395,60700
1999,-0.27165353298187256,4864000,3.3581557090656133e-06,0.00022708418196089043,2.1972227096557617,60800
1999,0.22766727209091187,4872000,1.3768405551672913e-05,0.0008422376065936987,2.1972217559814453,60900
1999,-1.1072931289672852,4880000,5.606714239547728e-07,0.00019658716819321854,2.197221517562866,61000
1999,-0.8809387683868408,4888000,1.3847791706211865e-05,-7.715975061728386e-05,2.1972200870513916,61100
1999,-0.037361979484558105,4896000,1.8169046143157175e-06,-0.0010189067608735059,2.1972222328186035,61200
1999,-0.648038387298584,4904000,2.1104092411405873e-06,-0.0027880728549916967,2.1972076892852783,61300
1999,-0.8380811214447021,4912000,3.4481086004234385e-06,-0.0010384777235572073,2.1972217559814453,61400
1999,-1.4395151138305664,4920000,1.1527009519340936e-05,-0.00034796759173332247,2.1972222328186035,61500
1999,-1.048081398010254,4928000,9.931375188898528e-07,0.0013285622881085146,2.197220802307129,61600
1999,-0.419722318649292,4936000,8.463754966214765e-06,-7.83312956627924e-05,2.197221040725708,61700
1999,-3.245394706726074,4944000,5.8868304222414736e-06,-0.0003377708959305892,2.1972222328186035,61800
1999,-1.0549087524414062,4952000,1.7408226540283067e-06,-0.0008043531677685678,2.19722318649292,61900
1999,-0.45961666107177734,4960000,4.5165552364778705e-06,0.00017219954680172122,2.1972174644470215,62000
1999,-0.8448754549026489,4968000,2.9329089556995314e-06,-0.0005164460495507228,2.19722318649292,62100
1999,-1.9912819862365723,4976000,6.897043022036087e-06,0.0011769662510232592,2.197221517562866,62200
1999,-0.7392239570617676,4984000,1.4600368558603805e-06,8.037464458539034e-05,2.197221279144287,62300
1999,-0.25494933128356934,4992000,1.0128291251021437e-05,0.0009542848315504671,2.1972222328186035,62400
1998,-0.627825140953064,5000000,3.0138166948745493e-06,0.0002127259447661345,2.19722318649292,62500
1999,-0.39891278743743896,5008000,2.4931098323577316e-06,-0.00020809136831303476,2.1972227096557617,62600
1999,-0.9027303457260132,5016000,3.953427039959934e-06,0.0013418746268143878,2.19720458984375,62700
1999,-0.5125547647476196,5024000,3.345345248817466e-06,0.0004298309675505152,2.1972227096557617,62800
1999,-1.1210055351257324,5032000,7.794430530339014e-06,0.0014418029085391027,2.197221040725708,62900
1999,-0.32278668880462646,5040000,1.1658078165055485e-06,0.0009688870651189063,2.197221279144287,63000
1999,-0.7505247592926025,5048000,1.2502168829087168e-05,0.000752140975077964,2.1972200870513916,63100
